id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
2292.0,en,Clerks,10.551,1994-09-13,7.4,1862.0,['Comedy'],"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",3151130.0,92.0,Just because they serve you doesn't mean they like you.
10226.0,fr,Haute tension,10.667,2003-06-18,6.8,921.0,"['Horror', 'Thriller', 'Mystery']","Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.",6291958.0,91.0,Hearts will bleed.
1637.0,en,Speed,30.605,1994-06-09,7.1,4622.0,"['Action', 'Adventure', 'Crime']","Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",350448145.0,116.0,Get ready for rush hour.
4806.0,en,Runaway Bride,16.658,1999-07-30,6.1,1537.0,"['Comedy', 'Romance']","Ike Graham, New York columnist, writes his text always at the last minute. This time, a drunken man in his favourite bar tells Ike about Maggie Carpenter, a woman who always flees from her grooms in the last possible moment. Ike, who does not have the best opinion about females anyway, writes an offensive column without researching the subject thoroughly.",309457509.0,116.0,Catch her if you can.
20441.0,en,Messengers 2: The Scarecrow,26.597,2009-07-21,5.4,121.0,['Horror'],"The family man farmer John Rollins is stressed with his financial situation: the crows and the lack of irrigation are destroying his crop of corn; the bank is near closure of his mortgage; he does not have credit to fix the water pump or to buy seeds; and his marriage is in crisis and his wife Mary is giving too much attention to her friend Tommy. When John accidentally discovers a hidden compartment in the barn, he finds a creepy scarecrow but his son Michael makes him promise to destroy it. However, his neighbor Jude Weatherby visits him, gives a six-pack of beer to the abstemious John and convinces him to put the scarecrow in the cornfield. Out of the blue, the life of John changes: the crows die; the pump works again irrigating the land; and the banker responsible for the closure has an accident and dies. However, he feels that his land is possessed by something evil that is threatening his beloved family.",0.0,94.0,The Beginning Of The End
10110.0,en,Empire of the Sun,19.534,1987-12-09,7.5,1375.0,"['Drama', 'History', 'War']","Jamie Graham, a privileged English boy, is living in Shanghai when the Japanese invade and force all foreigners into prison camps. Jamie is captured with an American sailor, who looks out for him while they are in the camp together. Even though he is separated from his parents and in a hostile environment, Jamie maintains his dignity and youthful spirits, providing a beacon of hope for the others held captive with him.",66700000.0,153.0,"To survive in a world at war, he must find a strength greater than all the events that surround him."
370172.0,en,No Time to Die,604.254,2021-09-29,7.4,1209.0,"['Adventure', 'Action', 'Thriller']","Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",667000000.0,163.0,The mission that changes everything begins…
50022.0,en,Super Troopers 2,11.253,2018-04-19,5.8,321.0,"['Comedy', 'Crime', 'Mystery']","When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area.",18850674.0,100.0,The mustache rides. Again.
266396.0,en,The Gunman,18.547,2015-02-16,5.7,767.0,"['Action', 'Drama', 'Crime']","Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa.",13644292.0,115.0,Armed With the Truth.
175.0,fr,Le Grand Bleu,15.394,1988-05-10,7.5,1074.0,"['Adventure', 'Drama', 'Romance']","Two men answer the call of the ocean in this romantic fantasy-adventure.  Jacques and Enzo are a pair of friends who have been close since childhood, and who share a passion for the dangerous sport of free diving. Professional diver Jacques opted to follow in the footsteps of his father, who died at sea when Jacques was a boy; to the bewilderment of scientists, Jacques harbors a remarkable ability to adjust his heart rate and breathing pattern in the water, so that his vital signs more closely resemble that of dolphins than men.  As Enzo persuades a reluctant Jacques to compete against him in a free diving contest -- determining who can dive deeper and longer without scuba gear -- Jacques meets Johana, a beautiful insurance investigator from America, and he finds that he must choose between his love for her and his love of the sea.",0.0,168.0,Danger...Like Passion...Runs Deep
535437.0,en,Swiped,11.273,2018-11-06,4.5,619.0,"['Comedy', 'Drama', 'Romance']","James, a college freshman and computer genius, is enlisted by his womanizing roommate, Lance, to code the ultimate hook-up app. But when James discovers that his divorced mother is using the app, unexpected consequences ensue.",0.0,93.0,Get Ready for Disruption!
765869.0,en,Black Friday,16.927,2021-11-19,0.0,0.0,"['Horror', 'Comedy']",A group of toy store employees must protect each other from a horde of parasite infected shoppers.,0.0,84.0,They have no idea what tonight has in-store.
2447.0,en,The Nativity Story,17.708,2006-11-30,6.9,153.0,"['Drama', 'History']","Mary and Joseph make the hard journey to Bethlehem for a blessed event in this retelling of the Nativity story. This meticulously researched and visually lush adaptation of the biblical tale follows the pair on their arduous path to their arrival in a small village, where they find shelter in a quiet manger and Jesus is born.",0.0,101.0,Her child would change the world.
440762.0,en,Jay and Silent Bob Reboot,10.926,2019-10-15,5.8,320.0,['Comedy'],Jay and Silent Bob embark on a cross-country mission to stop Hollywood from rebooting a film based on their comic book characters Bluntman and Chronic.,1011305.0,105.0,Weed love to tell you a story...
